# service	path	pretty	group	name	phase	device
# SLOW profile (rows=36)
com.victronenergy.system	/Dc/Battery/Soc	victron_battery_soc	battery	soc	-	total
com.victronenergy.vebus.ttyS2	/Ac/NumberOfPhases	victron_ac_number_of_phases	ac	number_of_phases	-	total
com.victronenergy.vebus.ttyS2	/Ac/PowerMeasurementType	victron_ac_power_measurement_type	ac	power_measurement_type	-	total
com.victronenergy.vebus.ttyS2	/Ac/State/SplitPhaseL2Passthru	victron_ac_split_phase_l2_passthru	ac	split_phase_l2_passthru	-	total
com.victronenergy.vebus.ttyS2	/Ac/State/SplitPhaseL2L1OutSummed	victron_ac_split_phase_l2_l1_out_summed	ac	split_phase_l2_l1_out_summed	-	total
com.victronenergy.vebus.ttyS2	/Ac/State/IgnoreAcIn1	victron_ac_ignore_ac_in1	ac	ignore_ac_in1	-	total
com.victronenergy.vebus.ttyS2	/Ac/State/RemoteGeneratorSelected	victron_ac_remote_generator_selected	ac	remote_generator_selected	-	total
com.victronenergy.vebus.ttyS2	/Ac/State/AcIn1Available	victron_ac_ac_in1_available	ac	ac_in1_available	-	total
com.victronenergy.vebus.ttyS2	/Ac/ActiveIn/Connected	victron_ac_in_connected	ac_in	connected	-	total
com.victronenergy.vebus.ttyS2	/Ac/ActiveIn/CurrentLimitIsAdjustable	victron_ac_in_current_limit_is_adjustable	ac_in	current_limit_is_adjustable	-	total
com.victronenergy.vebus.ttyS2	/Ac/ActiveIn/CurrentLimit	victron_ac_in_current_limit	ac_in	current_limit	-	total
com.victronenergy.vebus.ttyS2	/Ac/Control/IgnoreAcIn1	victron_ac_in_ignore_ac_in1	ac_in	ignore_ac_in1	-	total
com.victronenergy.vebus.ttyS2	/Ac/Control/RemoteGeneratorSelected	victron_ac_in_remote_generator_selected	ac_in	remote_generator_selected	-	total
com.victronenergy.vebus.ttyS2	/Energy/AcIn1ToInverter	victron_energy_ac_in1_to_inverter	energy	ac_in1_to_inverter	-	total
com.victronenergy.vebus.ttyS2	/Energy/AcIn1ToAcOut	victron_energy_ac_in1_to_ac_out	energy	ac_in1_to_ac_out	-	total
com.victronenergy.vebus.ttyS2	/Energy/InverterToAcIn1	victron_energy_inverter_to_ac_in1	energy	inverter_to_ac_in1	-	total
com.victronenergy.vebus.ttyS2	/Energy/AcOutToAcIn1	victron_energy_ac_out_to_ac_in1	energy	ac_out_to_ac_in1	-	total
com.victronenergy.vebus.ttyS2	/Energy/InverterToAcOut	victron_energy_inverter_to_ac_out	energy	inverter_to_ac_out	-	total
com.victronenergy.vebus.ttyS2	/Energy/OutToInverter	victron_energy_out_to_inverter	energy	out_to_inverter	-	total
com.victronenergy.vebus.ttyS2	/ModeIsAdjustable	victron_mode_is_adjustable_mode_is_adjustable	mode_is_adjustable	mode_is_adjustable	-	total
com.victronenergy.vebus.ttyS2	/DeviceInstance	victron_device_instance_device_instance	device_instance	device_instance	-	total
com.victronenergy.vebus.ttyS2	/Connected	victron_connected_connected	connected	connected	-	total
com.victronenergy.vebus.ttyS2	/RedetectSystem	victron_redetect_system_redetect_system	redetect_system	redetect_system	-	total
com.victronenergy.vebus.ttyS2	/SystemReset	victron_system_reset_system_reset	system_reset	system_reset	-	total
com.victronenergy.vebus.ttyS2	/CustomName	victron_custom_name_custom_name	custom_name	custom_name	-	total
com.victronenergy.vebus.ttyS2	/Settings/SystemSetup/AcInput1	victron_settings_ac_input1	settings	ac_input1	-	total
com.victronenergy.vebus.ttyS2	/Settings/SystemSetup/AcInput2	victron_settings_ac_input2	settings	ac_input2	-	total
com.victronenergy.vebus.ttyS2	/Settings/Alarm/System/GridLost	victron_settings_grid_lost	settings	grid_lost	-	total
com.victronenergy.vebus.ttyS2	/Settings/InverterOutputVoltage	victron_settings_inverter_output_voltage	settings	inverter_output_voltage	-	total
com.victronenergy.vebus.ttyS2	/Settings/AssistCurrentBoostFactor	victron_settings_assist_current_boost_factor	settings	assist_current_boost_factor	-	total
com.victronenergy.vebus.ttyS2	/Settings/PowerAssistEnabled	victron_settings_power_assist_enabled	settings	power_assist_enabled	-	total
com.victronenergy.vebus.ttyS2	/Settings/UpsFunction	victron_settings_ups_function	settings	ups_function	-	total
com.victronenergy.vebus.ttyS2	/Settings/GridCode	victron_settings_grid_code	settings	grid_code	-	total
com.victronenergy.gps.ve_ttyACM0	/Altitude	victron_gps_altitude	gps	altitude	-	total
com.victronenergy.gps.ve_ttyACM0	/Course	victron_gps_course	gps	course	-	total
com.victronenergy.gps.ve_ttyACM0	/NrOfSatellites	victron_gps_nr_of_satellites	gps	nr_of_satellites	-	total
